para_id,section,purpose,claim_id,fig_ids,stat_ids,ref_ids,caveat,strength_cap
PARA-INTRO-001,Introduction,Frame the endpoint-amplitude limitation that motivates residence-state inference.,CLM-0001,pending_stage9.6,pending_stage9.8,pending_stage9.7,Do not imply dwell state is causal without perturbation or external validation.,May claim residence summaries reveal time-in-state structure beyond amplitude summaries in tested trajectory regimes.
PARA-INTRO-002,Introduction,"Introduce bounded-coupling, reserve-like, routed-output, and reproducibility needs as separate method requirements.",CLM-0002,pending_stage9.6,pending_stage9.8,pending_stage9.7,Do not claim absence of all coupling outside declared margins and timescales.,"May claim bounded coupling is decision-ready only under declared margins, uncertainty, and visible inconclusive cases."
PARA-RESULTS-001,Results,Define the RhoDyn method object and show how residence-window summaries differ from amplitude summaries in synthetic trajectory regimes.,CLM-0001,pending_stage9.6,pending_stage9.8,pending_stage9.7,"Keep synthetic truth as method validation, not new biological evidence.",May claim residence summaries reveal time-in-state structure beyond amplitude summaries in tested trajectory regimes.
PARA-RESULTS-002,Results,Use independent public trajectory demonstrations to show residence-amplitude separation beyond the reference use case.,CLM-0001,pending_stage9.6,pending_stage9.8,pending_stage9.7,Do not claim universal residence logic across all live-cell reporters.,May claim residence summaries reveal time-in-state structure beyond amplitude summaries in tested trajectory regimes.
PARA-RESULTS-003,Results,"Present bounded-coupling decisions under declared margins, uncertainty intervals, and visible inconclusive cases.",CLM-0002,pending_stage9.6,pending_stage9.8,pending_stage9.7,Keep inconclusive and margin-bound cases visible rather than converting them into equivalence claims.,"May claim bounded coupling is decision-ready only under declared margins, uncertainty, and visible inconclusive cases."
PARA-RESULTS-004,Results,Describe reserve-like endpoint summaries as measurement-scoped buffering coordinates.,CLM-0003,pending_stage9.6,pending_stage9.8,pending_stage9.7,Use reserve-like language unless the readout directly assays biological reserve capacity.,May claim reserve-like endpoint summaries are interpretable when scoped to the measured readout.
PARA-RESULTS-005,Results,Compare routed-output alternatives and reduced architectures in the tested endpoint demonstration.,CLM-0004,pending_stage9.6,pending_stage9.8,pending_stage9.7,Do not convert effective model terms into literal molecular edges.,May claim reduced alternatives can fail routed-output constraints in the tested endpoint demonstration.
PARA-RESULTS-006,Results,"Report software cross-surface parity, export provenance, and reproducibility of retained Stage 7 evidence.",CLM-0005,pending_stage9.6_or_stage9.17,pending_stage9.8,pending_stage9.7,Do not claim PyPI publication or hidden private-data reproduction.,"May claim source-distribution reproduction, cross-surface parity, and export provenance for retained Stage 7 evidence."
PARA-METHODS-001,Methods,"Specify tidy trajectory inputs, residence-window metrics, amplitude comparators, and uncertainty summaries.",CLM-0001,pending_stage9.6,pending_stage9.8,pending_stage9.7,Preserve the distinction between measurement summary and biological mechanism.,May claim residence summaries reveal time-in-state structure beyond amplitude summaries in tested trajectory regimes.
PARA-METHODS-002,Methods,"Specify bounded-coupling decision rules, margin declaration, ROPE or interval support, and inconclusive states.",CLM-0002,pending_stage9.6,pending_stage9.8,pending_stage9.7,Equivalence remains restricted to the declared decision region.,"May claim bounded coupling is decision-ready only under declared margins, uncertainty, and visible inconclusive cases."
PARA-METHODS-003,Methods,"Specify reserve-like endpoint construction, scoped labels, and uncertainty behavior.",CLM-0003,pending_stage9.6,pending_stage9.8,pending_stage9.7,Do not generalize endpoint buffering summaries into unmeasured reserve biology.,May claim reserve-like endpoint summaries are interpretable when scoped to the measured readout.
PARA-METHODS-004,Methods,Specify reduced-architecture model comparison for routed-output constraints.,CLM-0004,pending_stage9.6,pending_stage9.8,pending_stage9.7,Retain model-comparison language rather than direct biochemical wiring language.,May claim reduced alternatives can fail routed-output constraints in the tested endpoint demonstration.
PARA-METHODS-005,Methods,"Specify versioning, command reproducibility, cross-surface parity, archive contents, and export provenance.",CLM-0005,pending_stage9.6_or_stage9.17,pending_stage9.8,pending_stage9.7,Keep distribution claims tied to the retained source distribution and recorded checks.,"May claim source-distribution reproduction, cross-surface parity, and export provenance for retained Stage 7 evidence."
PARA-DISCUSSION-001,Discussion,Synthesize residence-state inference as the central method contribution while preserving scope boundaries.,CLM-0001,pending_stage9.6,pending_stage9.8,pending_stage9.7,Do not imply residence behavior replaces all endpoint or amplitude summaries.,May claim residence summaries reveal time-in-state structure beyond amplitude summaries in tested trajectory regimes.
PARA-DISCUSSION-002,Discussion,"State limits of bounded coupling, reserve-like coordinates, routed-output comparisons, and software maturity.",CLM-0005,pending_stage9.6_or_stage9.17,pending_stage9.8,pending_stage9.7,"Keep limitations visible as interpretation boundaries, not as hidden technical caveats.","May claim source-distribution reproduction, cross-surface parity, and export provenance for retained Stage 7 evidence."
